 (n,m)=          10           0
 clat=   4.2539167833891627      ncells=           5
         200
 
 C   3.7175328910829073        1.2078996577064953        13.470736480732349     
 C   3.7175328910829069        1.2078996577064962        20.560597786380953     
 C   3.1623223588749707        2.2975616809848978        19.851611655816093     
 C   3.1623223588749712        2.2975616809848973        18.433639394686370     
 C   2.2975616809848969        3.1623223588749712        17.724653264121510     
 C   2.2975616809848969        3.1623223588749712        20.560597786380953     
 C   1.2078996577064958        3.7175328910829073        19.851611655816093     
 C   1.2078996577064962        3.7175328910829069        18.433639394686370     
 C  -6.2859028255824325E-016   3.9088454023369494        17.724653264121510     
 C  -6.2859028255824325E-016   3.9088454023369494        20.560597786380953     
 C  -1.2078996577064967        3.7175328910829069        19.851611655816093     
 C  -1.2078996577064967        3.7175328910829069        18.433639394686370     
 C  -2.2975616809848969        3.1623223588749712        17.724653264121510     
 C  -2.2975616809848969        3.1623223588749712        20.560597786380953     
 C  -3.1623223588749720        2.2975616809848960        19.851611655816093     
 C  -3.1623223588749707        2.2975616809848978        18.433639394686370     
 C  -3.7175328910829069        1.2078996577064964        17.724653264121510     
 C  -3.7175328910829069        1.2078996577064964        20.560597786380953     
 C  -3.9088454023369494       -1.2571805651164867E-015   19.851611655816093     
 C  -3.9088454023369494        4.7869550103337928E-016   18.433639394686370     
 C  -3.7175328910829073       -1.2078996577064958        17.724653264121510     
 C  -3.7175328910829073       -1.2078996577064958        20.560597786380953     
