  (n,m) =            9           0
  clat =    4.2539167833891627     
         216
 
 C  0.61088749280781207       -3.4645151317927967        14.179722611297210     
 C   1.7589804310516277       -3.0466434761008228        13.470736480732349     
 C   1.7589804310516277       -3.0466434761008228        16.306681002991791     
 C   2.6949143695242466       -2.2613016535221493        15.597694872426931     
 C   2.6949143695242466       -2.2613016535221493        14.179722611297210     
 C   3.3058018623320611       -1.2032134782706478        13.470736480732349     
 C   3.3058018623320611       -1.2032134782706478        16.306681002991791     
 C   3.5179608621032545       -8.6165190186008280E-016   15.597694872426931     
 C   3.5179608621032545       -8.6165190186008280E-016   14.179722611297210     
 C   3.3058018623320606        1.2032134782706490        13.470736480732349     
 C   3.3058018623320606        1.2032134782706483        20.560597786380953     
 C   2.6949143695242475        2.2613016535221484        19.851611655816093     
 C   2.6949143695242475        2.2613016535221480        18.433639394686370     
 C   1.7589804310516268        3.0466434761008232        17.724653264121510     
 C   1.7589804310516268        3.0466434761008232        20.560597786380953     
 C  0.61088749280781296        3.4645151317927967        19.851611655816093     
 C  0.61088749280781363        3.4645151317927962        18.433639394686370     
 C -0.61088749280781407        3.4645151317927962        17.724653264121510     
 C -0.61088749280781407        3.4645151317927962        20.560597786380953     
 C  -1.7589804310516282        3.0466434761008223        19.851611655816093     
 C  -1.7589804310516282        3.0466434761008223        18.433639394686370     
 C  -2.6949143695242470        2.2613016535221488        17.724653264121510     
 C  -2.6949143695242470        2.2613016535221488        20.560597786380953     
 C  -3.3058018623320611        1.2032134782706474        19.851611655816093     
 C  -3.3058018623320606        1.2032134782706487        18.433639394686370     
 C  -3.5179608621032545        4.3082595093004140E-016   17.724653264121510     
 C  -3.5179608621032545        4.3082595093004140E-016   20.560597786380953     
 C  -3.3058018623320606       -1.2032134782706494        19.851611655816093     
 C  -3.3058018623320611       -1.2032134782706481        18.433639394686370     
 C  -2.6949143695242488       -2.2613016535221466        17.724653264121510     
 C  -2.6949143695242488       -2.2613016535221466        20.560597786380953     
 C  -1.7589804310516259       -3.0466434761008236        19.851611655816093     
 C  -1.7589804310516288       -3.0466434761008219        18.433639394686370     
 C -0.61088749280781640       -3.4645151317927958        17.724653264121510     
 C -0.61088749280781329       -3.4645151317927962        20.560597786380953     
 C  0.61088749280781207       -3.4645151317927967        19.851611655816093     
 C  0.61088749280781207       -3.4645151317927967        18.433639394686370     
 C   1.7589804310516277       -3.0466434761008228        17.724653264121510     
 C   1.7589804310516277       -3.0466434761008228        20.560597786380953     
 C   2.6949143695242466       -2.2613016535221493        19.851611655816093     
 C   2.6949143695242466       -2.2613016535221493        18.433639394686370     
 C   3.3058018623320611       -1.2032134782706478        17.724653264121510     
 C   3.3058018623320611       -1.2032134782706478        20.560597786380953     
 C   3.5179608621032545       -8.6165190186008280E-016   19.851611655816093     
 C   3.5179608621032545       -8.6165190186008280E-016   18.433639394686370     
 C   3.3058018623320606        1.2032134782706490        17.724653264121510     
 C   3.3058018623320606        1.2032134782706483        24.814514569770115     
 C   2.6949143695242475        2.2613016535221484        24.105528439205255     
 C   2.6949143695242475        2.2613016535221480        22.687556178075532     
 C   1.7589804310516268        3.0466434761008232        21.978570047510672     
 C   1.7589804310516268        3.0466434761008232        24.814514569770115     
 C  0.61088749280781296        3.4645151317927967        24.105528439205255     
 C  0.61088749280781363        3.4645151317927962        22.687556178075532     
 C -0.61088749280781407        3.4645151317927962        21.978570047510672     
 C -0.61088749280781407        3.4645151317927962        24.814514569770115     
 C  -1.7589804310516282        3.0466434761008223        24.105528439205255     
 C  -1.7589804310516282        3.0466434761008223        22.687556178075532     
 C  -2.6949143695242470        2.2613016535221488        21.978570047510672     
 C  -2.6949143695242470        2.2613016535221488        24.814514569770115     
 C  -3.3058018623320611        1.2032134782706474        24.105528439205255     
 C  -3.3058018623320606        1.2032134782706487        22.687556178075532     
 C  -3.5179608621032545        4.3082595093004140E-016   21.978570047510672     
 C  -3.5179608621032545        4.3082595093004140E-016   24.814514569770115     
 C  -3.3058018623320606       -1.2032134782706494        24.105528439205255     
